2025-11-23 23:06:15,927 - URL: https://www.columnfivemedia.com | Status: success | Mode: js_rendering | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 42 | Confidence: 0.66 | LoadTime: 0.30s | Reason: Success
2025-11-23 23:17:34,900 - URL: https://www.columnfivemedia.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 17 | Confidence: 0.68 | LoadTime: 0.00s | Reason: Success
2025-11-23 23:17:41,407 - URL: https://www.columnfivemedia.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 19 | Confidence: 0.68 | LoadTime: 0.00s | Reason: Success
2025-11-23 23:18:14,687 - URL: https://www.columnfivemedia.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 18 | Confidence: 0.68 | LoadTime: 0.00s | Reason: Success
2025-11-23 23:19:39,266 - URL: https://github.com | Status: success | Mode: js_rendering | Retries: 0 | Pages: 3 | Emails: 1 | Phones: 52 | Confidence: 0.64 | LoadTime: 0.39s | Reason: Success
2025-11-23 23:20:18,972 - URL: https://github.com | Status: success | Mode: js_rendering | Retries: 0 | Pages: 3 | Emails: 1 | Phones: 58 | Confidence: 0.64 | LoadTime: 0.37s | Reason: Success
2025-11-23 23:22:06,762 - URL: https://cosmarketingagency.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 3 | Phones: 26 | Confidence: 0.67 | LoadTime: 3.22s | Reason: Success
2025-11-23 23:22:08,123 - URL: https://smp.com.np | Status: success | Mode: fast_html | Retries: 0 | Pages: 5 | Emails: 0 | Phones: 50 | Confidence: 0.75 | LoadTime: 1.01s | Reason: Success
2025-11-23 23:22:13,771 - URL: https://graybox.co | Status: success | Mode: js_rendering | Retries: 0 | Pages: 2 | Emails: 4 | Phones: 108 | Confidence: 0.70 | LoadTime: 3.31s | Reason: Success
2025-11-23 23:22:17,277 - URL: https://thriveagency.com | Status: success | Mode: js_rendering | Retries: 0 | Pages: 2 | Emails: 6 | Phones: 46 | Confidence: 0.86 | LoadTime: 2.06s | Reason: Success
2025-11-23 23:22:26,487 - URL: https://cornerstone.studio | Status: success | Mode: js_rendering | Retries: 0 | Pages: 2 | Emails: 0 | Phones: 37 | Confidence: 0.48 | LoadTime: 1.63s | Reason: Success
2025-11-23 23:22:28,461 - URL: https://beebrilliantmarketing.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 3 | Emails: 0 | Phones: 11 | Confidence: 0.55 | LoadTime: 0.57s | Reason: Success
2025-11-23 23:22:34,736 - URL: https://pedaladvertising.com | Status: success | Mode: js_rendering | Retries: 0 | Pages: 1 | Emails: 0 | Phones: 13 | Confidence: 0.45 | LoadTime: 0.69s | Reason: Success
2025-11-23 23:22:39,256 - URL: https://sparkagency.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 2 | Phones: 19 | Confidence: 0.69 | LoadTime: 1.34s | Reason: Success
2025-11-23 23:22:41,371 - URL: https://wizonbiz.com | Status: success | Mode: js_rendering | Retries: 1 | Pages: 2 | Emails: 1 | Phones: 26 | Confidence: 0.63 | LoadTime: 0.94s | Reason: Success
2025-11-23 23:22:45,489 - URL: https://bigwestmarketing.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 0 | Phones: 6 | Confidence: 0.45 | LoadTime: 1.58s | Reason: Success
2025-11-23 23:22:45,824 - URL: https://thewebdesigninc.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 10 | Confidence: 0.68 | LoadTime: 1.07s | Reason: Success
